generador-1  | Hit rate: 43.14% (22/51)
generador-1  | [CACHÉ HIT] Providencia → 5 eventos (2 ms)
generador-1  | Hit rate: 44.23% (23/52)
generador-1  | [CACHÉ MISS] Ñuñoa → 5 eventos desde MongoDB (9 ms)
generador-1  | Hit rate: 43.40% (23/53)
generador-1  | [CACHÉ HIT] Estación Central → 5 eventos (3 ms)
generador-1  | Hit rate: 44.44% (24/54)
generador-1  | [CACHÉ HIT] BRAGA → 2 eventos (2 ms)
generador-1  | Hit rate: 45.45% (25/55)
generador-1  | [CACHÉ MISS] Independencia → 5 eventos desde MongoDB (4 ms)
generador-1  | Hit rate: 44.64% (25/56)
generador-1  | [CACHÉ HIT] Estación Central → 5 eventos (2 ms)
generador-1  | Hit rate: 45.61% (26/57)
generador-1  | [CACHÉ MISS] Renca → 1 eventos desde MongoDB (44 ms)
generador-1  | Hit rate: 44.83% (26/58)
generador-1  | [CACHÉ MISS] Santiago → 5 eventos desde MongoDB (8 ms)
generador-1  | Hit rate: 44.07% (26/59)
generador-1  | [CACHÉ MISS] Salindres → 2 eventos desde MongoDB (59 ms)
generador-1  | Hit rate: 43.33% (26/60)
generador-1  | [CACHÉ MISS] Lo Prado → 5 eventos desde MongoDB (5 ms)
generador-1  | Hit rate: 42.62% (26/61)
generador-1  | [CACHÉ HIT] Salindres → 2 eventos (3 ms)
generador-1  | Hit rate: 43.55% (27/62)
generador-1  | [CACHÉ MISS] Independencia → 5 eventos desde MongoDB (5 ms)
generador-1  | Hit rate: 42.86% (27/63)
generador-1  | [CACHÉ MISS] Ñuñoa → 5 eventos desde MongoDB (13 ms)
generador-1  | Hit rate: 42.19% (27/64)
generador-1  | [CACHÉ MISS] Renca → 1 eventos desde MongoDB (46 ms)
generador-1  | Hit rate: 41.54% (27/65)
generador-1  | [CACHÉ MISS] Santiago → 5 eventos desde MongoDB (5 ms)
generador-1  | Hit rate: 40.91% (27/66)
generador-1  | [CACHÉ HIT] Renca → 1 eventos (2 ms)
generador-1  | Hit rate: 41.79% (28/67)
generador-1  | [CACHÉ HIT] Salindres → 2 eventos (3 ms)
generador-1  | Hit rate: 42.65% (29/68)
generador-1  | [CACHÉ HIT] Renca → 1 eventos (2 ms)
generador-1  | Hit rate: 43.48% (30/69)
generador-1  | [CACHÉ HIT] Independencia → 5 eventos (2 ms)
