comuna,tipo,fecha,descripcion
Santiago,Peligro,2025-04-20T00:35:33.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T06:35:21.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T14:45:27.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T04:20:21.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T14:07:08.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T18:14:01.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T14:48:23.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Policía,2025-06-29T22:26:42.802Z,"Monjitas"
Santiago,Policía,2025-04-21T07:10:35.000Z,"Av. San Pablo"
Estación Central,Peligro,2025-06-29T22:26:42.802Z,"Pedro Aguirre Cerda lateral"
Santiago,Peligro,2025-04-20T04:20:59.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T19:05:07.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-19T00:50:12.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T06:40:35.000Z,"Av. Libertador Bernardo O'Higgins"
Providencia,Otro,2025-06-29T22:26:42.803Z,"Ramón Carnicer"
Santiago,Peligro,2025-04-15T13:52:24.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Policía,2025-04-21T07:21:57.000Z,"Monjitas"
Santiago,Peligro,2025-04-20T14:08:22.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T02:11:37.000Z,"Av. Libertador Bernardo O'Higgins"
Estación Central,Peligro,2025-06-29T22:26:42.803Z,"Pedro Aguirre Cerda lateral"
Santiago,Peligro,2025-04-18T13:45:30.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T11:37:08.000Z,"Av. Libertador Bernardo O'Higgins"
Independencia,Otro,2025-06-29T22:26:42.803Z,"Maruri"
Santiago,Otro,2025-06-29T22:26:42.803Z,"Salvador Sanfuentes"
Estación Central,Otro,2025-06-29T22:26:42.803Z,"Placilla"
Quinta Normal,Otro,2025-06-29T22:26:42.803Z,"Martínez de Rozas"
Santiago,Peligro,2025-04-20T02:12:29.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T14:49:19.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T04:22:10.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-19T11:51:58.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-19T00:50:55.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T14:09:26.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-18T22:46:54.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T18:18:01.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T06:45:40.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T00:42:38.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T12:08:03.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T18:18:10.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T00:37:14.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T19:05:45.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-19T08:08:42.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T14:10:28.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T18:20:15.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-18T14:00:03.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T12:17:38.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T19:08:26.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T18:20:31.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T06:45:54.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T12:22:36.000Z,"Av. Libertador Bernardo O'Higgins"
Estación Central,Otro,2025-06-29T22:26:42.804Z,"Conde del Maule"
Providencia,Otro,2025-06-29T22:26:42.804Z,"Ramón Carnicer"
Santiago,Otro,2025-06-29T22:26:42.804Z,"Salvador Sanfuentes"
Santiago,Peligro,2025-04-20T14:50:22.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-19T11:56:54.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T14:51:30.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-19T12:04:21.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T19:10:56.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-18T22:47:41.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T18:22:00.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T06:48:35.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T02:14:00.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T12:30:58.000Z,"Av. Libertador Bernardo O'Higgins"
Recoleta,Otro,2025-06-29T22:26:42.804Z,"Patronato"
Santiago,Peligro,2025-04-19T09:11:03.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T14:12:27.000Z,"Av. Libertador Bernardo O'Higgins"
Quinta Normal,Otro,2025-06-29T22:26:42.804Z,"Julio Bañados"
Santiago,Peligro,2025-04-20T14:53:22.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-19T12:14:32.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T19:11:12.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T14:14:08.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-18T22:52:24.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T06:51:06.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-16T00:55:26.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-18T06:24:12.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T02:15:38.000Z,"Av. Libertador Bernardo O'Higgins"
Estación Central,Policía,2025-06-29T22:26:42.804Z,"Coronel Godoy"
Santiago,Peligro,2025-04-18T14:01:19.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T12:31:44.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T14:54:26.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T04:23:01.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-19T12:17:25.000Z,"Av. Libertador Bernardo O'Higgins"
Recoleta,Peligro,2025-06-29T22:26:42.804Z,"Av. Recoleta"
Santiago,Peligro,2025-04-20T19:13:36.000Z,"Av. Libertador Bernardo O'Higgins"
